SIGLA,FAMILY,SPECIES,Dispersal syndrome,Growth form,RS1,RS2,inertia,OMI,Tol,Rtol,omi,tol,rtol,DL,AREA,EN,VUL
bcb128,Bromeliaceae,Cryptanthus bromelioides Otto & A.Dietr.,Zoochory,Herbaceous,-0.51438,-1.29273,0.397661027,0.366318652,0.031307562,3.48127E-05,92.1,7.9,0,1.666666667,8158.05119,0,1.656281061
bct122,Boraginaceae,Cordia trichotoma (Vell.) Arrb. ex Steud.,Anemochory,Woody,-0.82813,-0.99968,2.343168532,0.360518829,0.359792761,1.622856943,15.4,15.4,69.3,384.8558786,1648609.002,0,1.743391916
bct16,Boraginaceae,Cordia trichoclada DC.,Zoochory,Woody,0.23471,-0.47036,0.941821671,0.053893633,0.465624434,0.422303605,5.7,49.4,44.8,45.20652174,196917.1233,0,1.598210247
bjj15,Bignoniaceae,Jacaranda jasminoides (Thunb.) Sandwith,Anemochory,Woody,0.47135,-3.44307,3.183995697,2.154854853,0.627937747,0.401203097,67.7,19.7,12.6,55.81651376,309142.848,0,1.567329906
bpa129,Bromeliaceae,Pitcairnia albiflos Herb.,Anemochory,Lithophyte,-0.48504,-0.90495,0.217146769,0.207829537,0.000783972,0.00853326,95.7,0.4,3.9,2.333333333,5100.57417,1,1.823839159
bpf21,Bromeliaceae,Pitcairnia flammea Lindl.,Anemochory,Herbaceous,-0.94712,0.30208,0.781381055,0.256631238,0.292310036,0.232439782,32.8,37.4,29.7,53.87387387,169552.3286,0,1.40129379
bps22,Bromeliaceae,Pitcairnia staminea Lodd.,Anemochory,Lithophyte,-0.65827,-0.88354,0.402110037,0.25416393,0.055238827,0.092707281,63.2,13.7,23.1,4.2,1957.410458,0,3.212187766
bql130,Bromeliaceae,Quesnelia liboniana (De Jongle) Mez,Zoochory,Epiphyte,-0.89009,0.52864,0.587373654,0.26179377,0.101042434,0.224537451,44.6,17.2,38.2,4.7,12645.15619,0,1.689705659
bta131,Bromeliaceae,Tillandsia araujei Mez,Anemochory,Lithophyte,-0.53828,-0.64851,0.220401911,0.152023879,0.031234569,0.037143462,69,14.2,16.9,6.5,2015.255799,1,2.610674719
btb132,Bromeliaceae,Tillandsia brachyphylla Baker,Anemochory,Epiphyte,-0.5256,0.50697,0.541067064,0.119471129,0.201779314,0.219816622,22.1,37.3,40.6,1.5,8889.284798,1,1.465679156
btm123,Boraginaceae,Tournefortia membranacea (Gardner) DC.,Zoochory,Climber,-0.40774,-1.18907,1.373208916,0.294483597,0.56762149,0.511103829,21.4,41.3,37.2,28.91666667,128220.0465,0,1.303465296
bts133,Bromeliaceae,Tillandsia stricta Solander,Anemochory,Epiphyte,-1.0301,-0.20656,1.404224705,0.292049627,0.43855393,0.673621148,20.8,31.2,48,331.7115097,928640.5587,0,1.374658208
btt134,Bromeliaceae,Tillandsia tenuifolia L.,Anemochory,Epiphyte,-1.28957,0.02728,1.734955284,0.446029382,0.699822848,0.589103054,25.7,40.3,34,280.4140351,1014376.446,0,1.585047891
bvb135,Bromeliaceae,Vriesea botafogensis Mez,Anemochory,Lithophyte,-0.47375,-1.03662,0.252982282,0.250114226,0.0008823,0.001985756,98.9,0.3,0.8,2.333333333,5356.614035,1,1.713566935
bvb136,Bromeliaceae,"Stigmatodon brassicoides (Baker) Leme, G.K.Br. & Barfuss",Anemochory,Lithophyte,-0.40083,-1.02985,0.230539887,0.230539887,0,0,100,0,0,1.5,4908.295698,1,1.80020302
bvg137,Bromeliaceae,"Stigmatodon goniorachis (Baker) Leme, G.K.Br. & Barfuss",Anemochory,Lithophyte,-0.63879,-0.58326,0.286576073,0.169536862,0.014755599,0.102283612,59.2,5.1,35.7,3,10821.16299,1,1.45552928
bvn23,Bromeliaceae,Vriesea neoglutinosa Mez,Anemochory,Epiphyte,0.3179,-1.27442,0.77841638,0.314191107,0.179950825,0.284274449,40.4,23.1,36.5,20.34090909,47618.92901,1,2.095585328
bvu17,Boraginaceae,Varronia urticifolia (Cham.) J.S.Mill.,Zoochory,Climber,-1.30747,0.34298,0.784548645,0.479141642,0.139247729,0.166159274,61.1,17.7,21.2,26.67924528,177653.738,0,2.021554867
cbb138,Cactaceae,Brasiliopuntia brasiliensis (Willd.) A.Berger,Zoochory,Woody,0.04187,-2.01753,1.570524122,0.719919053,0.48929463,0.361310439,45.8,31.2,23,80.51265823,296188.2658,0,1.813023726
cbc147,Cyperaceae,Bulbostylis capillaris Clarke,Anemochory,Herbaceous,-1.52789,-0.30476,4.142265565,0.642366657,2.528634797,0.971264112,15.5,61,23.4,372.8409091,1447504.745,0,1.302692799
ccc35,Clusiaceae,Clusia criuva Cambess.,Zoochory,Epiphyte,-1.08909,0.84505,1.171773937,0.444214171,0.489920129,0.237639637,37.9,41.8,20.3,198.222488,382882.9683,1,1.637183143
ccf139,Cactaceae,Coleocephalocereus fluminensis (Miq.) Backeb.,Zoochory,Lithophyte,-0.06482,-1.4016,0.595849836,0.348355571,0.162929719,0.084564546,58.5,27.3,14.2,28.89473684,63513.61168,1,1.949052187
ccf24,Cactaceae,Cereus fernambucensis Lem.,Zoochory,Semi-woody,0.78906,-0.74806,1.029967055,0.265909244,0.342951494,0.421106317,25.8,33.3,40.9,78.91275168,156572.3463,0,1.533714659
ccf36,Clusiaceae,Clusia fluminensis Planch. & Triana,Zoochory,Epiphyte,-0.1864,-1.73911,1.214845488,0.543894666,0.471386925,0.199563897,44.8,38.8,16.4,18.76923077,72199.52759,0,1.712753272
ccr148,Cyperaceae,Cyperus rigens C.Presl,Anemochory,Herbaceous,-2.81402,0.61563,3.028570693,2.19032647,0.631063789,0.207180435,72.3,20.8,6.8,135.5197133,595704.3823,0,1.498594143
ccs146,Celastraceae,Cheiloclinium serratum (Cambess.) A.C.Sm.,Zoochory,Climber,-0.28342,-0.35474,1.151342354,0.043777776,0.522296905,0.585267673,3.8,45.4,50.8,51.82653061,249002.662,0,1.689474578
cdt38,Comelinaceae,Dichorisandra thyrsiflora J.C.Mikan,Zoochory,Herbaceous,0.10388,-0.84896,0.862504361,0.130298925,0.330471576,0.401733861,15.1,38.3,46.6,27.38461538,74952.3517,0,1.663409487
chh34,Chrysobalanaceae,Hirtella hebeclada Moric. ex DC.,Zoochory,Woody,-1.47242,0.86533,1.179881286,0.713630921,0.271049126,0.195201239,60.5,23,16.5,120.0886076,217469.9675,0,1.404132071
chs140,Cactaceae,Hylocereus setaceus (Salm-Dyck) R.Bauer,Zoochory,Climber,-0.01889,-1.41564,1.214079573,0.354315708,0.442786213,0.416977652,29.2,36.5,34.3,56.65517241,362204.3529,0,1.951284346
cjh39,Convolvulaceae,Jacquemontia holosericea (Weinm.) O'Donell,Anemochory,Climber,-0.93335,0.50932,0.659496505,0.220524669,0.187429692,0.251542145,33.4,28.4,38.1,9.909090909,26983.33976,0,2.033592329
cjm40,Convolvulaceae,Jacquemontia martii Choysi,Anemochory,Climber,0.14371,-1.79422,1.585392666,0.574543617,0.636551356,0.374297692,36.2,40.2,23.6,29.25423729,188771.3709,0,1.586839505
ckm37,Calophyllaceae,Kielmeyera membranacea Casar.,Anemochory,Woody,0.1705,-1.55427,0.542369897,0.434794943,0.055336837,0.052238117,80.2,10.2,9.6,22.48780488,25143.79498,1,1.912629487
clc141,Cactaceae,Lepismium cruciforme (Vell.) Miq.,Zoochory,Epiphyte,-1.96699,0.49951,1.617699187,1.081534412,0.363696796,0.17246798,66.9,22.5,10.7,102.9583333,539213.5067,0,1.375661238
cml31,Capparaceae,Mesocapparis lineata (Dombey ex Pers.) Cornejo & Iltis,Zoochory,Climber,1.25688,-1.5164,1.916655495,0.830107126,0.308368824,0.778179546,43.3,16.1,40.6,34.61538462,246161.6109,0,1.596387404
cmo32,Celastraceae,Maytenus obtusifolia Mart.,Zoochory,Woody,0.86619,-1.23757,1.262949165,0.471947314,0.357163705,0.433838146,37.4,28.3,34.4,84.41714286,146383.5896,0,1.575801545
com142,Cactaceae,Opuntia monacantha Haw.,Zoochory,Semi-woody,-2.33983,0.07226,2.447564431,1.46895211,0.786047441,0.192564879,60,32.1,7.9,35.21428571,246186.773,0,1.575106673
cpa143,Cactaceae,Pereskia aculeata Mill.,Zoochory,Climber,-0.69371,-0.57728,1.337090437,0.187934101,0.341403114,0.807753223,14.1,25.5,60.4,168.5922619,724719.8752,0,1.700200819
cpa26,Cactaceae,Pilosocereus arrabidae (Lem.) Byles & Rowley,Zoochory,Semi-woody,0.03274,-1.77407,0.759263194,0.556583836,0.083228044,0.119451313,73.3,11,15.7,19.95238095,16945.01124,1,2.463500959
cpb27,Cactaceae,Pilosocereus brasiliensis (Britton & Rose) Backeb.,Zoochory,Semi-woody,0.19028,-1.7499,0.67003818,0.550957311,0.069442224,0.049638645,82.2,10.4,7.4,14.48275862,63425.88088,1,1.771675085
cpg25,Cactaceae,Pereskia grandifolia Haw.,Zoochory,Woody,-0.08719,-1.5581,1.801739325,0.431132863,0.724345064,0.646261399,23.9,40.2,35.9,43.57317073,353885.8524,0,1.444796201
cps41,Cyperaceae,Pleurostachys stricta Kunth,Zoochory,Herbaceous,-1.83366,1.07686,1.643149639,1.10647595,0.331459505,0.205214184,67.3,20.2,12.5,51.57575758,238681.8586,0,1.35629698
crc144,Cactaceae,Rhipsalis cereoides (Backeb. & Voll) Backeb.,Zoochory,Lithophyte,-0.57366,-0.98488,0.264234096,0.259681477,0.00130863,0.003243989,98.3,0.5,1.2,2,5334.448849,1,1.692028109
crf28,Cactaceae,Rhipsalis floccosa subsp. pulvinigera (G.Lindb.) Barthlott & N.P.Taylor,Zoochory,Epiphyte,-1.01891,0.0809,1.366864646,0.27951155,0.606200231,0.481152866,20.4,44.3,35.2,119.3112033,524590.6196,0,1.402433139
crg29,Cactaceae,Rhipsalis grandiflora Haw.,Zoochory,Epiphyte,-1.50392,1.11488,1.030383934,0.826102218,0.052908865,0.151372851,80.2,5.1,14.7,18,49332.77978,0,1.355857252
crl30,Cactaceae,Rhipsalis lindbergiana K. Schum.,Zoochory,Epiphyte,-0.39457,-1.52901,1.050825935,0.454961789,0.343636746,0.2522274,43.3,32.7,24,37.5,196104.6833,1,1.681738428
crm145,Cactaceae,Rhipsalis mesembryanthemoides Haw.,Zoochory,Epiphyte,-0.65828,-0.87706,0.278809624,0.252149162,0.012190805,0.014469657,90.4,4.4,5.2,6.1,740.6924446,1,3.658083829
csa33,Celastraceae,Salacia arborea (Schrank) Peyr.,Zoochory,Woody,-0.15413,-1.61737,0.707288386,0.468728322,0.149335006,0.089225058,66.3,21.1,12.6,11.63636364,37855.17243,0,1.812753875
ctl149,Cyperaceae,Trilepis lhotzkiana Nees ex Arn.,Anemochory,Lithophyte,-0.17716,-0.80398,0.909736821,0.122667866,0.529115321,0.257953634,13.5,58.2,28.4,64.1875,253710.6358,0,1.507217527
dda151,Dioscoreaceae,Dioscorea altissima Lam.,Anemochory,Climber,1.08087,0.14848,1.750732877,0.317226981,0.756622081,0.676883815,18.1,43.2,38.7,88.36413043,463197.0508,0,1.44917255
ddc152,Dioscoreaceae,Dioscorea campestris Griseb.,Anemochory,Climber,-0.31243,-2.11051,2.92910685,0.81345348,1.155697788,0.959955583,27.8,39.5,32.8,88.3480663,771000.3416,0,1.709921436
ddc42,Dioscoreaceae,Dioscorea cinammomifolia Hook.,Anemochory,Climber,-0.19791,-1.11098,0.642030782,0.228665915,0.24362647,0.169738397,35.6,37.9,26.4,14.72,34026.94529,0,2.015948432
ddl43,Dioscoreaceae,Dioscorea laxiflora Mart. ex Griseb.,Anemochory,Climber,0.01866,-0.08276,1.020689608,0.001306654,0.46374342,0.555639533,0.1,45.4,54.4,55.48623853,300834.4758,0,1.438696939
ddl44,Dioscoreaceae,Dioscorea leptostachya Gardner,Anemochory,Climber,0.84013,-1.62902,1.895417932,0.658349707,0.641722826,0.595345399,34.7,33.9,31.4,44.67346939,250791.7236,0,1.569424371
ddm45,Dioscoreaceae,Dioscorea mollis Kunth,Anemochory,Climber,0.80064,-0.62005,0.800877389,0.239893891,0.172223568,0.38875993,30,21.5,48.5,7.875,34233.81815,0,2.013751971
ddp153,Dioscoreaceae,Dioscorea pseudomacrocapsa G.M.Barroso et al.,Anemochory,Climber,-0.56514,-1.02731,0.277893988,0.272170505,0.001577724,0.00414576,97.9,0.6,1.5,4,315.0818697,1,3.74681274
ddr150,Dilleniaceae,Davilla rugosa Poir.,Zoochory,Climber,-0.50355,0.31263,1.082911026,0.085239445,0.678724355,0.318947225,7.9,62.7,29.5,255.0097466,545423.5341,0,1.888215231
eak154,Euphorbiaceae,Actinostemon klotzschii (Didr.) Pax,Zoochory,Woody,-0.76609,-0.39584,0.92407417,0.185052106,0.360376914,0.378645151,20,39,41,108.4333333,425153.4439,0,1.772647134
eal48,Euphorbiaceae,Algernonia leandrii (Baill.) G.L.Webster,Autochory,Woody,0.14819,0.32605,0.888602016,0.024676268,0.442463285,0.421462463,2.8,49.8,47.4,14,52299.89572,0,1.549273166
eba49,Euphorbiaceae,Bernardia axillaris (Spreng.) Mll.Arg.,Autochory,Woody,0.50292,-1.07683,0.903307412,0.272806815,0.419318092,0.211182505,30.2,46.4,23.4,5.5,36878.16755,0,1.438712205
ecc50,Euphorbiaceae,Croton compressus Lam.,Zoochory,Woody,-0.75649,-0.30633,0.65730187,0.170024149,0.015592843,0.471684878,25.9,2.4,71.8,5.363636364,17533.03096,0,1.990236256
edf51,Euphorbiaceae,Dalechampia ficifolia Lam.,Autochory,Climber,0.07449,-0.84259,1.21085796,0.126986238,0.624153991,0.459717731,10.5,51.5,38,84.3,276240.5199,0,1.508925994
edm52,Euphorbiaceae,Dalechampia micromeria Baill.,Autochory,Climber,-2.24184,0.81733,1.709896815,1.465676994,0.148523222,0.095696599,85.7,8.7,5.6,54.81308411,309786.6165,0,1.404747931
eei155,Euphorbiaceae,Euphorbia insulana Vell.,Zoochory,Herbaceous,0.68293,-2.25742,2.983933414,1.0257972,1.064677253,0.893458961,34.4,35.7,29.9,90.41269841,413384.5492,0,1.563916765
eeo46,Erythroxylaceae,Erythroxylum ovalifolium Peyr.,Zoochory,Woody,-0.64115,-1.55095,0.734223574,0.535380059,0.161463143,0.037380371,72.9,22,5.1,7.75,3075.496594,0,2.842186257
ees47,Erythroxylaceae,Erythroxylum subrotundum A.St.-Hil.,Zoochory,Woody,0.38971,-1.95478,1.6037352,0.716131506,0.517804434,0.369799259,44.7,32.3,23.1,104.2139535,467737.447,0,1.685771612
egg53,Euphorbiaceae,Gymnanthes glabrata (Mart.) Govaerts,Zoochory,Woody,1.2517,-0.56382,1.201079845,0.476389513,0.35349934,0.371190992,39.7,29.4,30.9,42.2,96578.11937,0,1.461994937
egn156,Euphorbiaceae,Gymnanthes nervosa Mll.Arg.,Zoochory,Woody,-0.84182,-1.3705,1.270449913,0.521999211,0.344052221,0.40439848,41.1,27.1,31.8,12.85714286,47668.31923,1,1.959738074
eml157,Euphorbiaceae,Manihot leptopoda (Mll.Arg.) D.J.Rogers & Appan,Zoochory,Woody,-0.78255,0.10986,0.419363632,0.166314564,0.033022909,0.220026158,39.7,7.9,52.5,6.846153846,18371.86251,0,2.051226257
epl158,Euphorbiaceae,Pachystroma longifolium (Nees) I.M.Johnst.,Autochory,Woody,-1.14522,-0.21338,1.254753332,0.359703189,0.502178553,0.392871591,28.7,40,31.3,94.13661202,471260.8839,0,1.55798031
ert159,Euphorbiaceae,Romanoa tamnoides (A.Juss.) Radcl.-Sm.,Zoochory,Climber,0.20324,-1.97264,1.675518294,0.698872193,0.657931799,0.318714302,41.7,39.3,19,45.7311828,189511.4132,0,1.384269903
esd54,Euphorbiaceae,Stillingia dichotoma Mull. Arg.,Zoochory,Woody,-0.31233,-1.52681,0.825142921,0.438189474,0.232839031,0.154114417,53.1,28.2,18.7,4.75,14629.20428,0,1.342559482
etv160,Euphorbiaceae,Tragia volubilis L.,Zoochory,Climber,-0.68285,-0.75414,2.756410772,0.225543921,1.030817735,1.500049115,8.2,37.4,54.4,280.1137931,1355215.314,0,1.409019247
fac55,Fabaceae,Abarema cochliacarpos (Gomes) Barneby & J.W.Grimes,Zoochory,Woody,0.96838,-1.37685,1.331274892,0.58658093,0.190987966,0.553705995,44.1,14.3,41.6,106.9140271,198779.8776,1,1.457984143
fap56,Fabaceae,Albizia polycephala (Benth.) Killip ex Record,Anemochory,Woody,0.0035,-1.87003,1.738085592,0.618101685,0.636387052,0.483596856,35.6,36.6,27.8,179.7362637,872512.6047,0,1.483860656
fcp161,Fabaceae,Canavalia parviflora Benth,Autochory,Climber,0.28606,-1.25671,1.118840811,0.301110855,0.448319723,0.369410233,26.9,40.1,33,52.20952381,201563.3979,0,1.517285788
fcv162,Fabaceae,Centrosema virginianum (L.) Benth.,Autochory,Climber,-0.33249,-1.02104,2.325081865,0.213910831,0.74884899,1.362322043,9.2,32.2,58.6,321.8125,1389018.075,0,1.480382486
fdf163,Fabaceae,Dalbergia frutescens (Vell.) Britton,Anemochory,Climber,-1.43125,0.41096,1.649491115,0.579099444,0.723052454,0.347339217,35.1,43.8,21.1,474.4598985,1203520.74,0,1.836940127
flf57,Fabaceae,Libidibia ferrea var. leiostachya (Benth.) L.P.Queiroz,Zoochory,Woody,0.61286,-4.13767,4.497945402,3.126647883,0.652067417,0.719230102,69.5,14.5,16,248.2231076,580099.2844,0,1.413348157
flv58,Fabaceae,Muellera virgilioides (Vogel) M.J. Silva & A.M.G. Azevedo,Zoochory,Climber,-0.41274,-3.3612,2.393364384,2.042479035,0.315758632,0.035126717,85.3,13.2,1.5,8.928571429,10446.10164,0,2.180059929
fsp59,Fabaceae,Senegalia pteridifolia (Benth.) Seigler & Ebinger,Autochory,Climber,0.55558,-0.80734,0.971619269,0.198011348,0.104879099,0.668728822,20.4,10.8,68.8,5.111111111,11766.27239,0,1.495102066
fss164,Fabaceae,Sigmoidotropis speciosa (Kunth) A. Delgado,Anemochory,Climber,1.41277,0.77898,2.016646917,0.642522709,0.532359686,0.841764523,31.9,26.4,41.7,36.43835616,186482.8863,0,1.630246005
gsb165,Gesneriaceae,Sinningia bulbosa (Ker-Gawl) Wiehler,Anemochory,Lithophyte,0.11339,-0.27654,0.840525513,0.016975379,0.160329002,0.663221131,2,19.1,78.9,6.6,11702.19933,0,2.3523201
gsm166,Gesneriaceae,Sinningia magnifica (Otto & A.Dietr.) Wiehler,Anemochory,Lithophyte,-0.8734,0.60851,0.522248216,0.269949326,0.124169697,0.128129193,51.7,23.8,24.5,36.38157895,137650.0039,0,1.530599146
mae170,Malvaceae,Abutilon esculentum A.St.-Hil.,Anemochory,Woody,-0.41219,-1.28731,0.361962936,0.338462312,0.021156807,0.002343817,93.5,5.8,0.6,2.75,9808.245794,0,1.610881256
mbg174,Moraceae,Brosimum guianense (Aubl.) Huber,Zoochory,Woody,1.6941,1.60447,2.416373531,1.224636067,0.622904415,0.56883305,50.7,25.8,23.5,441.4820628,1657153.585,1,1.339151661
mce64,Malvaceae,Ceiba erianthos (Cav.) Schum.,Anemochory,Woody,0.23485,-3.08549,2.266138925,1.697461058,0.416788773,0.151889094,74.9,18.4,6.7,31.92647059,169376.7765,0,1.656674613
mcs171,Malvaceae,Ceiba speciosa (A. St.-Hil.) Ravenna,Anemochory,Woody,-1.08235,0.28937,1.355808888,0.328892403,0.762694873,0.264221612,24.3,56.3,19.5,170.0883191,809047.5321,0,1.700907488
